"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Sorriso Floripa Clínicas Odontológicas",,"R. Álvaro de Carvalho, 267 - Sobre Loja - Centro, Florianópolis - SC, 88010-040","R. Álvaro de Carvalho, 267 - Sobre Loja - Centro","Florianópolis - SC","Dental clinic","America/Sao_Paulo",,"(48) 98411-3737","(48) 98411-3737, +55 48 98411-3737","YES",103,4.9,"https://search.google.com/local/reviews?placeid=ChIJ1931GAA5J5URb-EJmxjVl3o&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=8833763495767564655",-27.5950286,-48.5529655,"https://www.sorrisofloripa.com.br/","sorrisofloripa.com.br","Friday(2025-12-12): [8 AM–7 PM], Saturday(2025-12-13): [8 AM–2 PM], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–7 PM], Tuesday(2025-12-16): [8 AM–7 PM], Wednesday(2025-12-17): [8 AM–7 PM], Thursday(2025-12-18): [8 AM–7 PM]","https://lh3.googleusercontent.com/p/AF1QipMQ8wl9vkTrD9rbkAOc2BMBwjwGd_H5idAWNEox=w163-h92-k-no","8833763495767564655","0x9527390018f5ddd7:0x7a97d5189b09e16f","ChIJ1931GAA5J5URb-EJmxjVl3o"
"Florianópolis Odontologia",,"R. Neri Cardoso Bitencourt, 328 - Santa Monica, Florianópolis - SC, 88035-100","R. Neri Cardoso Bitencourt, 328 - Santa Monica","Florianópolis - SC","Dental clinic, Cosmetic dentist, Dental implants periodontist, Endodontist, Free parking lot, Oral surgeon, Orthodontist, Pediatric dentist","America/Sao_Paulo",,"(48) 99998-4100","(48) 99998-4100, +55 48 99998-4100","YES",43,4.9,"https://search.google.com/local/reviews?placeid=ChIJZ-SkGjs4J5URmQxmdqmXivE&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=17404890464018369689",-27.590875699999998,-48.5095853,"http://www.florianopolisodontologia.com.br/","florianopolisodontologia.com.br","Friday(2025-12-12): [8:30 AM–8 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8:30 AM–8 PM], Tuesday(2025-12-16): [8:30 AM–8 PM], Wednesday(2025-12-17): [8:30 AM–8 PM], Thursday(2025-12-18): [8:30 AM–8 PM]","https://lh3.googleusercontent.com/p/AF1QipMC9fiYuhU0hiDb476Q0s2NhUumh9pSRILiKI2P=w225-h92-k-no","17404890464018369689","0x9527383b1aa4e467:0xf18a97a976660c99","ChIJZ-SkGjs4J5URmQxmdqmXivE"
"Odonto Clínica Florianópolis",,"Estr. Dom João Becker, 56 - Ingleses Norte, Florianópolis - SC, 88058-600","Estr. Dom João Becker, 56 - Ingleses Norte","Florianópolis - SC","Dental clinic","America/Sao_Paulo",,"(48) 3269-1509","(48) 3269-1509, +55 48 3269-1509","YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJ0eKRtPhpJ5URZtyfi7iKosI&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=14024924714806271078",-27.436577399999997,-48.3936529,"http://www.odontoclinicaflorianopolis.com.br/","odontoclinicaflorianopolis.com.br","Friday(2025-12-12): [8 AM–12 PM, 1:30–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–12 PM, 1:30–7 PM], Tuesday(2025-12-16): [8 AM–12 PM, 1:30–7 PM], Wednesday(2025-12-17): [8 AM–12 PM, 1:30–7 PM], Thursday(2025-12-18): [8 AM–12 PM, 1:30–7 PM]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TXOk2Ugr7Z0OKE7H9YCXsg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=115.175964&pitch=0&thumbfov=100","14024924714806271078","0x952769f8b491e2d1:0xc2a28ab88b9fdc66","ChIJ0eKRtPhpJ5URZtyfi7iKosI"
"Odontoclinic - Florianópolis",,"R. Vidal Ramos, 285 - Centro, Florianópolis - SC, 88010-320","R. Vidal Ramos, 285 - Centro","Florianópolis - SC","Dentist, Cosmetic dentist, Dental clinic, Dental implants provider, Oral surgeon, Orthodontist, Pediatric dentist, Pediatric dentistry clinic, Periodontist","America/Sao_Paulo",,"(48) 3030-1515","(48) 3030-1515, +55 48 3030-1515","YES",962,5,"https://search.google.com/local/reviews?placeid=ChIJs4wCYx84J5UR6tIvtf3qmRA&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=1196245551431013098",-27.5948057,-48.5519276,"https://odontoclinic.com.br/unidade/florianopolis","odontoclinic.com.br","Friday(2025-12-12): [8:30 AM–6:30 PM], Saturday(2025-12-13): [8:30 AM–12:30 PM], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8:30 AM–6:30 PM], Tuesday(2025-12-16): [8:30 AM–6:30 PM], Wednesday(2025-12-17): [8:30 AM–6:30 PM], Thursday(2025-12-18): [8:30 AM–6:30 PM]","https://lh3.googleusercontent.com/p/AF1QipPHPtKVe4ReB7qOf0Fqn11R8aKH_T3iHTFId-D8=w80-h106-k-no","1196245551431013098","0x9527381f63028cb3:0x1099eafdb52fd2ea","ChIJs4wCYx84J5UR6tIvtf3qmRA"
"Odontologica clinic Smiling",,"Ed. HS Prime - R. Irmã Benwarda, 83 - 2 andar - Centro, Florianópolis - SC, 88015-100","Ed. HS Prime","R. Irmã Benwarda, 83 - 2 andar - Centro","Dental clinic, Dentist","America/Sao_Paulo",,"(48) 3028-1399","(48) 3028-1399, +55 48 3028-1399","YES",60,4.9,"https://search.google.com/local/reviews?placeid=ChIJKUrCDiM4J5URHteHQfL4QyI&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=2469090740094359326",-27.590106,-48.5510659,"https://clinicasorrir.odo.br/","clinicasorrir.odo.br","Friday(2025-12-12): [7:30 AM–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [7:30 AM–7 PM], Tuesday(2025-12-16): [7:30 AM–7 PM], Wednesday(2025-12-17): [7:30 AM–7 PM], Thursday(2025-12-18): [7:30 AM–7 PM]","https://lh3.googleusercontent.com/p/AF1QipMjtIlmlx3N12l09JDWBL-YArprzLbnhibfqHnj=w142-h92-k-no","2469090740094359326","0x952738230ec24a29:0x2243f8f24187d71e","ChIJKUrCDiM4J5URHteHQfL4QyI"
"Dentistas Florianópolis | Invisalign em Florianópolis",,"Premier Office Center - Rua Padre Roma, 482 - sala 1104 - Centro, Florianópolis - SC, 88010-090","Premier Office Center","Rua Padre Roma, 482 - sala 1104 - Centro","Dentist, Dental clinic, Dental implants periodontist, Oral surgeon, Orthodontist, Periodontist","America/Sao_Paulo",,"(48) 3223-2460","(48) 3223-2460, +55 48 3223-2460","YES",191,4.9,"https://search.google.com/local/reviews?placeid=ChIJu3W_L3Y5J5URatgO6ePeGLQ&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=12977367396717090922",-27.5925439,-48.5550344,"https://dracinaraduarte.com/","dracinaraduarte.com","Friday(2025-12-12): [9 AM–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [9 AM–6 PM], Tuesday(2025-12-16): [9 AM–6 PM], Wednesday(2025-12-17): [9 AM–6 PM], Thursday(2025-12-18): [9 AM–6 PM]","https://lh3.googleusercontent.com/p/AF1QipMVb1uKD5Fy3yx5hWgUoxHRNctr0SkWXjwA53E-=w80-h106-k-no","12977367396717090922","0x952739762fbf75bb:0xb418dee3e90ed86a","ChIJu3W_L3Y5J5URatgO6ePeGLQ"
"Odontoclínica Florianópolis",,"Centro Executivo Ferreira Lima - Av. Trompowsky, 354 Térreo - sala 2 - Centro, Florianópolis - SC, 88015-300","Centro Executivo Ferreira Lima","Av. Trompowsky, 354 Térreo - sala 2 - Centro","Dentist","America/Sao_Paulo",,"(48) 3025-7770","(48) 3025-7770, +55 48 3025-7770","YES",18,4.8,"https://search.google.com/local/reviews?placeid=ChIJZTapTBE4J5URHzHUO8L_xOc&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=16700754527889142047",-27.587570799999998,-48.5479661,"http://www.odontoclinicaflorianopolis.com.br/","odontoclinicaflorianopolis.com.br","Friday(2025-12-12): [8 AM–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–6 PM], Tuesday(2025-12-16): [8 AM–6 PM], Wednesday(2025-12-17): [8 AM–6 PM], Thursday(2025-12-18): [8 AM–6 PM]","https://lh3.googleusercontent.com/p/AF1QipPQDCSaoLlieqoNooUXTlW2lAW_NpyMfdL7p6Oq=w138-h92-k-no","16700754527889142047","0x952738114ca93665:0xe7c4ffc23bd4311f","ChIJZTapTBE4J5URHzHUO8L_xOc"
"Dental Arte Florianópolis - Clínica Odontológica",,"R. Felipe Schmidt, 291 - Sala 102 - Centro, Florianópolis - SC, 88010-000","R. Felipe Schmidt, 291 - Sala 102 - Centro","Florianópolis - SC","Dental clinic","America/Sao_Paulo",,"(48) 3207-8972","(48) 3207-8972, +55 48 3207-8972","YES",46,4.7,"https://search.google.com/local/reviews?placeid=ChIJ7SOSlc05J5URn94G4SPgaIQ&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=9541122255288196767",-27.5962,-48.5528449,"https://www.dentalarteclinicas.com.br/","dentalarteclinicas.com.br","Friday(2025-12-12): [9 AM–6 PM], Saturday(2025-12-13): [9 AM–12 PM], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [9 AM–6 PM], Tuesday(2025-12-16): [9 AM–6 PM], Wednesday(2025-12-17): [9 AM–6 PM], Thursday(2025-12-18): [9 AM–6 PM]","https://lh3.googleusercontent.com/p/AF1QipP2f35oNpI9L9NLtbYobtbZubEUG0-E8a_SDcrz=w138-h92-k-no","9541122255288196767","0x952739cd959223ed:0x8468e023e106de9f","ChIJ7SOSlc05J5URn94G4SPgaIQ"
"Santa Paulina Clínica Odontológica",,"R. Irmã Benwarda, 83 - Centro, Florianópolis - SC, 88015-270","R. Irmã Benwarda, 83 - Centro","Florianópolis - SC","Dental clinic, Dentist","America/Sao_Paulo",,"(48) 3224-7721","(48) 3224-7721, +55 48 3224-7721","YES",37,4.5,"https://search.google.com/local/reviews?placeid=ChIJMVVBbhg4J5URVTkMQFAjaN4&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=16026098101576808789",-27.5901154,-48.5510577,"http://www.clinicasantapaulina.com.br/","clinicasantapaulina.com.br","Friday(2025-12-12): [8 AM–6:30 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–6:30 PM], Tuesday(2025-12-16): [8 AM–6:30 PM], Wednesday(2025-12-17): [8 AM–6:30 PM], Thursday(2025-12-18): [8 AM–6:30 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz864Ig9Ub3ukCPpzwXsHM_NA6AslllUdtPJq-dqy9QmnMoj5op9EgG8fsvKfC-DtJqiP5jdZ5VkGeXzsoziky9yIhfbFEaEMN0jP3hJS6BTanCNF52OgIGaBYJqEnXLWcOTTiN=w163-h92-k-no","16026098101576808789","0x952738186e415531:0xde682350400c3955","ChIJMVVBbhg4J5URVTkMQFAjaN4"
"Odontoquality - Dentista em Florianópolis",,"Centro Comercial ARS - Rua Felipe Schmidt, 249, 8o andar, sala 810 - Centro, Florianópolis - SC, 88010-000","Centro Comercial ARS","Rua Felipe Schmidt, 249, 8o andar","Dental clinic","America/Sao_Paulo",,"(48) 3223-3900","(48) 3223-3900, +55 48 3223-3900","YES",662,5,"https://search.google.com/local/reviews?placeid=ChIJ64rhMSA4J5URXbfgXVppcBk&q=florianopolis+clinicas+odontologicas&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=1833080885182773085",-27.596538499999998,-48.552467799999995,"http://www.clinicaodontoquality.com.br/","clinicaodontoquality.com.br","Friday(2025-12-12): [7:30 AM–5 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [7:30 AM–6:30 PM], Tuesday(2025-12-16): [7:30 AM–6:30 PM], Wednesday(2025-12-17): [7:30 AM–6:30 PM], Thursday(2025-12-18): [7:30 AM–6:30 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_qRQjnb0cwqnDFAUXGf19sWh07GFvmImFRT_E_cx3Mz9HljhlHV_EHRlOmh44idf0LGoiHRnYIBQEFSYUHNvUV1UwU8g70Xgmv9Kz64rSxujSCZCOjcVtPc1Uk7E3d-JIfm0=w138-h92-k-no","1833080885182773085","0x9527382031e18aeb:0x1970695a5de0b75d","ChIJ64rhMSA4J5URXbfgXVppcBk"
