"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Centro Médico Florianópolis",,"R. Presidente Coutinho, 579 - Centro, Florianópolis - SC, 88015-231","R. Presidente Coutinho, 579 - Centro","Florianópolis - SC","Local medical services","America/Sao_Paulo",,"(48) 3223-5600","(48) 3223-5600, +55 48 3223-5600","YES",26,4.2,"https://search.google.com/local/reviews?placeid=ChIJ9wYKkBg4J5URIjrAC23UrSs&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=3147405279415515682",-27.590906999999998,-48.547214399999994,"http://centromedicoflorianopolis.com.br/","centromedicoflorianopolis.com.br","Friday(2025-12-12): [7:30 AM–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [7:30 AM–7 PM], Tuesday(2025-12-16): [7:30 AM–7 PM], Wednesday(2025-12-17): [7:30 AM–7 PM], Thursday(2025-12-18): [7:30 AM–7 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZocY7EEwQyGHVOqU3ZJUgcnVlW3078lCW9BSBJ5JgEKzrpqqNWL0C7sc_AqveGaMkH2mkMPtCWwedjZVxS4c_0NXZIIBIYrRQYdwYDh3GsAgkMZnwvOqSbD5xtVW443dKqZU=w80-h142-k-no","3147405279415515682","0x95273818900a06f7:0x2badd46d0bc03a22","ChIJ9wYKkBg4J5URIjrAC23UrSs"
"Clínica Médica Capoeiras",,"Av. Gov. Ivo Silveira, 3637 - Capoeiras, Florianópolis - SC, 88085-001","Av. Gov. Ivo Silveira, 3637 - Capoeiras","Florianópolis - SC","Medical Center, Medical clinic","America/Sao_Paulo",,"(48) 3244-7633","(48) 3244-7633, +55 48 3244-7633","YES",23,4.4,"https://search.google.com/local/reviews?placeid=ChIJaYgvq9M3J5URI3lK4eDhPkg&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=5205846575255550243",-27.600699799999997,-48.602514799999994,"http://clinicamedicacapoeiras.com.br/","clinicamedicacapoeiras.com.br","Friday(2025-12-12): [8 AM–12 PM, 1–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–12 PM, 1–7 PM], Tuesday(2025-12-16): [8 AM–12 PM, 1–7 PM], Wednesday(2025-12-17): [8 AM–12 PM, 1–7 PM], Thursday(2025-12-18): [8 AM–12 PM, 1–7 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBWRsy81pnbYlmpW6iJB3wLMCF1jAlM75YaIkBzzol-Tw5hDQpdu2ogcnugKerzespfIwo28NYJa8PS0cJquisWhyo_b_RdNS2tH-fMTN9unQxmzKVUtNDR4blV54B57iFAqOZHQ=w163-h92-k-no","5205846575255550243","0x952737d3ab2f8869:0x483ee1e0e14a7923","ChIJaYgvq9M3J5URI3lK4eDhPkg"
"Florianópolis Clínicas",,"R. Vidal Ramos, 110 - 2º Andar - Centro, Florianópolis - SC, 88010-320","R. Vidal Ramos, 110 - 2º Andar - Centro","Florianópolis - SC","Medical Center, Cardiologist, Dentist, Dermatologist, Gynecologist, Nutritionist","America/Sao_Paulo",,"(48) 3112-2200","(48) 3112-2200, +55 48 3112-2200","YES",508,2.5,"https://search.google.com/local/reviews?placeid=ChIJBxnG9HpEJ5UR6QxPz58JZzI&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=3631882206480108777",-27.5955524,-48.5502082,"https://www.florianopolisclinicas.com.br/","florianopolisclinicas.com.br","Friday(2025-12-12): [7:30 AM–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [7:30 AM–7 PM], Tuesday(2025-12-16): [7:30 AM–7 PM], Wednesday(2025-12-17): [7:30 AM–7 PM], Thursday(2025-12-18): [7:30 AM–7 PM]","https://lh3.googleusercontent.com/p/AF1QipOKbKr1envFK-lpcYrZiJPg9_X8ARUyNrU5NksW=w92-h92-k-no","3631882206480108777","0x9527447af4c61907:0x3267099fcf4f0ce9","ChIJBxnG9HpEJ5UR6QxPz58JZzI"
"Clínica Médica Trindade",,"Av. Me. Benvenuta, 146 - Trindade, Florianópolis - SC, 88036-500","Av. Me. Benvenuta, 146 - Trindade","Florianópolis - SC","Medical clinic","America/Sao_Paulo",,"(48) 3234-1654","(48) 3234-1654, +55 48 3234-1654","YES",1939,4.7,"https://search.google.com/local/reviews?placeid=ChIJGQHEOFY4J5URtSihk2mkX-I&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=16311937148714559669",-27.5926683,-48.519874699999995,"http://clinicatrindade.com.br/","clinicatrindade.com.br","Friday(2025-12-12): [8 AM–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–7 PM], Tuesday(2025-12-16): [8 AM–7 PM], Wednesday(2025-12-17): [8 AM–7 PM], Thursday(2025-12-18): [8 AM–7 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSygpbJKpntpLHHGl6UZwVTBIseXkPaax-wdyEf008qJhSj7yEWPoZVma0-vgZ1d4fIT7d8L2SWMDeAJz_m_ERalFYsVlEHH2FnzIzjyx2Je_H7KrR9vfmQnY0ayI5mSuqMjodzJ=w99-h92-k-no","16311937148714559669","0x9527385638c40119:0xe25fa46993a128b5","ChIJGQHEOFY4J5URtSihk2mkX-I"
"Dra. Rafaela Bock, Médico de família",,"R. Euríco Hosterno, 300 - Santa Monica, Florianópolis - SC, 88035-400","R. Euríco Hosterno, 300 - Santa Monica","Florianópolis - SC","Family practice physician, Doctor","America/Sao_Paulo",,"(48) 3211-0890","(48) 3211-0890, +55 48 3211-0890","YES",126,5,"https://search.google.com/local/reviews?placeid=ChIJI9F98qY5J5URgVPkE6YA4t0&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=15988342340416983937",-27.5908637,-48.5049111,"http://linktr.ee/drarafaelabock","linktr.ee","Friday(2025-12-12): [8 AM–7 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–7 PM], Tuesday(2025-12-16): [8 AM–7 PM], Wednesday(2025-12-17): [8 AM–7 PM], Thursday(2025-12-18): [8 AM–7 PM]","https://lh3.googleusercontent.com/p/AF1QipM2PljhK79vOMtPbgnTw0pUFZFUmUYoCrmXok4z=w92-h92-k-no","15988342340416983937","0x952739a6f27dd123:0xdde200a613e45381","ChIJI9F98qY5J5URgVPkE6YA4t0"
"Pró-Saúde Serviços Médicos",,"R. Sete de Setembro, 142 - sobreloja - Centro, Florianópolis - SC, 88010-060","R. Sete de Setembro, 142 - sobreloja - Centro","Florianópolis - SC","Medical Center, Doctor","America/Sao_Paulo",,"(48) 99111-2832","(48) 99111-2832, +55 48 99111-2832","YES",739,3.1,"https://search.google.com/local/reviews?placeid=ChIJrQnKZCE4J5UR-rsyrt-M2IU&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=9644613494342073338",-27.595607899999997,-48.5543692,"http://prosaudeservicosmedicos.com.br/","prosaudeservicosmedicos.com.br","Friday(2025-12-12): [7:30 AM–7:30 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [7:30 AM–7:30 PM], Tuesday(2025-12-16): [7:30 AM–7:30 PM], Wednesday(2025-12-17): [7:30 AM–7:30 PM], Thursday(2025-12-18): [7:30 AM–7:30 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwd8UsweU9rlt6XOMqbAYyP1fzYl6ERnQ4lvalfjbryEXfJyrCMgrVJiq5xHGsYni6iy-OjsFOGLJ0VsriD79WV3gTtuA-BO5KThlT2pZYMp97gt_D5BXn9pYYrjJpm7aVEa1U=w122-h92-k-no","9644613494342073338","0x9527382164ca09ad:0x85d88cdfae32bbfa","ChIJrQnKZCE4J5UR-rsyrt-M2IU"
"Associação Catarinense de Medicina",,"Rod. José Carlos Daux, 3854 - Saco Grande, Florianópolis - SC, 88032-005","Rod. José Carlos Daux, 3854 - Saco Grande","Florianópolis - SC","Association / Organization","America/Sao_Paulo",,"(48) 3231-0300","(48) 3231-0300, +55 48 3231-0300","YES",1459,4.5,"https://search.google.com/local/reviews?placeid=ChIJtbvyrmBHJ5URpW8LxQmSxEg&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=5243476436824321957",-27.5462875,-48.4988822,"http://www.acm.org.br/","acm.org.br","Friday(2025-12-12): [9 AM–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [9 AM–6 PM], Tuesday(2025-12-16): [9 AM–6 PM], Wednesday(2025-12-17): [9 AM–6 PM], Thursday(2025-12-18): [9 AM–6 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytbVmCj3nERgZ5jLh_Eq8nkGJUTtNgTrsbX1s2MQnlL2UzpJEtgL_PUamJAvZMmQFneot6tbPlxf7O_QBnx3EqWLXo0Mjw2lf-M4aYRPScpJd8Gm6Dpo8LcSdncr0aj6rdeLnLbg=w122-h92-k-no","5243476436824321957","0x95274760aef2bbb5:0x48c49209c50b6fa5","ChIJtbvyrmBHJ5URpW8LxQmSxEg"
"Clínica Simi",,"Av. Alm. Tamandaré, 94 - Cj 302 - Coqueiros, Florianópolis - SC, 88080-160","Av. Alm. Tamandaré, 94 - Cj 302 - Coqueiros","Florianópolis - SC","Specialized clinic","America/Sao_Paulo",,"(48) 3344-0209","(48) 3344-0209, +55 48 3344-0209","YES",144,5,"https://search.google.com/local/reviews?placeid=ChIJlaK0sL83J5URRLM6MlNVf7I&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=12862092876606780228",-27.606553599999998,-48.578499,"http://www.clinicasimi.com.br/","clinicasimi.com.br","Friday(2025-12-12): [8 AM–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–6 PM], Tuesday(2025-12-16): [8 AM–6 PM], Wednesday(2025-12-17): [8 AM–6 PM], Thursday(2025-12-18): [8 AM–6 PM]","https://lh3.googleusercontent.com/p/AF1QipNnvwJNYK0xSaWepVgGCOwCIHSkIAG15DdCKoJI=w122-h92-k-no","12862092876606780228","0x952737bfb0b4a295:0xb27f5553323ab344","ChIJlaK0sL83J5URRLM6MlNVf7I"
"Centro Médico Estreito",,"R. Santos Saraiva, 435 - Estreito, Florianópolis - SC, 88070-100","R. Santos Saraiva, 435 - Estreito","Florianópolis - SC","Medical Center, Medical clinic","America/Sao_Paulo",,"(48) 3248-2022","(48) 3248-2022, +55 48 3248-2022","YES",223,3,"https://search.google.com/local/reviews?placeid=ChIJxRsB4uc3J5URnQSXcGi-W7s&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=13500593663748015261",-27.5912524,-48.5780038,,,"Friday(2025-12-12): [7 AM–9 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [7 AM–9 PM], Tuesday(2025-12-16): [7 AM–9 PM], Wednesday(2025-12-17): [7 AM–9 PM], Thursday(2025-12-18): [7 AM–9 PM]","https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxKmK_nIL2P_d7wXoBU2OXM6CfaEgStgZuYK9RLY4nVX0DgGfCJjs9h9XUXSCBio_a16m7HqyxLK8eZ96LuLOtMG0YTA1LypnbdWJiG-dDvArOskw471oYnsj7tLSlJAnlq_mh57g=w122-h92-k-no","13500593663748015261","0x952737e7e2011bc5:0xbb5bbe687097049d","ChIJxRsB4uc3J5URnQSXcGi-W7s"
"ICAMED - Florianópolis",,"R. Jerônimo Coelho, 389 - Centro, Florianópolis - SC, 88010-030","R. Jerônimo Coelho, 389 - Centro","Florianópolis - SC","Medical Center, Doctor, Medical group","America/Sao_Paulo",,"(48) 3222-3881","(48) 3222-3881, +55 48 3222-3881","YES",268,4,"https://search.google.com/local/reviews?placeid=ChIJp0e77JA5J5URT9v_3hrsrmQ&q=florianopolis+m%C3%A9dicos&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=7254995649895062351",-27.594334,-48.5513331,"https://icamed.com.br/","icamed.com.br","Friday(2025-12-12): [8 AM–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–6 PM], Tuesday(2025-12-16): [8 AM–6 PM], Wednesday(2025-12-17): [8 AM–6 PM], Thursday(2025-12-18): [8 AM–6 PM]","https://lh3.googleusercontent.com/p/AF1QipMEUlHo19yIsKvQI0H9ldZ5tFl48wRImyvROEMG=w80-h106-k-no","7254995649895062351","0x95273990ecbb47a7:0x64aeec1adeffdb4f","ChIJp0e77JA5J5URT9v_3hrsrmQ"
