"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Advogado em Florianópolis | Escritório de Advocacia Faquetti",,"R. Gen. Liberato Bittencourt, 1885 - Sala 307 - Estreito, Florianópolis - SC, 88070-800","R. Gen. Liberato Bittencourt, 1885 - Sala 307 - Estreito","Florianópolis - SC","Legal services, Administrative attorney, Civil law attorney, Criminal justice attorney, Divorce lawyer, Estate litigation attorney, Family law attorney, Lawyer, Personal injury attorney, Trial attorney","America/Sao_Paulo",,"(48) 3028-4469","(48) 3028-4469, +55 48 3028-4469","YES",214,5,"https://search.google.com/local/reviews?placeid=ChIJ18RtsSE4J5URszADEhCCoiU&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=2711872931163746483",-27.583764499999997,-48.584007899999996,"https://www.faquettiadvocacia.com.br/","faquettiadvocacia.com.br","Friday(2025-12-12): [Open 24 hours], Saturday(2025-12-13): [Open 24 hours], Sunday(2025-12-14): [Open 24 hours], Monday(2025-12-15): [Open 24 hours], Tuesday(2025-12-16): [Open 24 hours], Wednesday(2025-12-17): [Open 24 hours], Thursday(2025-12-18): [Open 24 hours]","https://lh3.googleusercontent.com/p/AF1QipMz1lElNNxgD7LOTXWxAHbJsa5BMxq7ag6F2L9P=w138-h92-k-no","2711872931163746483","0x95273821b16dc4d7:0x25a28210120330b3","ChIJ18RtsSE4J5URszADEhCCoiU"
"Pedro de Queiroz Advogado em Florianópolis",,"R. Ten. Silveira, 225 - Centro, Florianópolis - SC, 88010-300","R. Ten. Silveira, 225 - Centro","Florianópolis - SC","Legal services, Administrative attorney, Bankruptcy attorney, Business attorney, Civil law attorney, Divorce lawyer, Labor relations attorney, Lawyer, Real estate attorney, Tax attorney","America/Sao_Paulo",,"(48) 3222-6092","(48) 3222-6092, +55 48 3222-6092","YES",149,5,"https://search.google.com/local/reviews?placeid=ChIJ_Q7ugyM4J5URWwZktLMEb74&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=13722191759493301851",-27.5957148,-48.5519366,"https://pedrodequeiroz.adv.br/","pedrodequeiroz.adv.br","Friday(2025-12-12): [Open 24 hours], Saturday(2025-12-13): [Open 24 hours], Sunday(2025-12-14): [Open 24 hours], Monday(2025-12-15): [Open 24 hours], Tuesday(2025-12-16): [Open 24 hours], Wednesday(2025-12-17): [Open 24 hours], Thursday(2025-12-18): [Open 24 hours]","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4mwnnxZTLN8TAGxRDpR2BA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=206.75635&pitch=0&thumbfov=100","13722191759493301851","0x9527382383ee0efd:0xbe6f04b3b464065b","ChIJ_Q7ugyM4J5URWwZktLMEb74"
"Cassol e Lima Advogados Associados - Advocacia",,"R. Santos Dumont, 64 - Sala 403 - Centro, Florianópolis - SC, 88010-540","R. Santos Dumont, 64 - Sala 403 - Centro","Florianópolis - SC","Lawyer, Civil law attorney, Divorce service, Family law attorney, Insurance attorney, Labor relations attorney, Law firm, Legal services, Real estate attorney, Social security attorney","America/Sao_Paulo",,"(48) 3324-2643","(48) 3324-2643, +55 48 3324-2643","YES",267,4.8,"https://search.google.com/local/reviews?placeid=ChIJrdE8UTs4J5URAymUTsGbqnk&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=8766990879179417859",-27.5949307,-48.5485638,"https://cassolelima.adv.br/","cassolelima.adv.br","Friday(2025-12-12): [8 AM–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–6 PM], Tuesday(2025-12-16): [8 AM–6 PM], Wednesday(2025-12-17): [8 AM–6 PM], Thursday(2025-12-18): [8 AM–6 PM]","https://lh3.googleusercontent.com/p/AF1QipMZyzjJ0qKPtyHHNTl81c0pG_AkVnYn5Y992AAM=w138-h92-k-no","8766990879179417859","0x9527383b513cd1ad:0x79aa9bc14e942903","ChIJrdE8UTs4J5URAymUTsGbqnk"
"Advogada Família & Imobiliário | Viviane Pacheco",,"R. Dom Jaime Câmara, 179 - Sala 203 - Centro, Florianópolis - SC, 88015-120","R. Dom Jaime Câmara, 179 - Sala 203 - Centro","Florianópolis - SC","Legal services, Civil law attorney, Criminal justice attorney, Divorce lawyer, Family law attorney, Lawyer, Real estate attorney, Social security attorney, Trial attorney","America/Sao_Paulo",,"(48) 98421-9473","(48) 98421-9473, +55 48 98421-9473","YES",153,5,"https://search.google.com/local/reviews?placeid=ChIJ41lPzcU5J5URWX6K3tmf41g&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=6405138853141315161",-27.5920787,-48.5510464,"https://vivianeadvocacia.com.br/advogado-familia-imobiliario/","vivianeadvocacia.com.br","Friday(2025-12-12): [Open 24 hours], Saturday(2025-12-13): [Open 24 hours], Sunday(2025-12-14): [Open 24 hours], Monday(2025-12-15): [Open 24 hours], Tuesday(2025-12-16): [Open 24 hours], Wednesday(2025-12-17): [Open 24 hours], Thursday(2025-12-18): [Open 24 hours]","https://lh3.googleusercontent.com/p/AF1QipPpsr2GFyOTeUC_bGcXktSTnR7lnxo16alGQ3wp=w146-h92-k-no","6405138853141315161","0x952739c5cd4f59e3:0x58e39fd9de8a7e59","ChIJ41lPzcU5J5URWX6K3tmf41g"
"Duarte, Fernandes, Fretta, Koerich & Truppel Advogados Associados",,"Torre Süden - R. Cristóvão Nunes Píres, 86 - sala 303 - Centro, Florianópolis - SC, 88010-120","Torre Süden","R. Cristóvão Nunes Píres, 86 - sala 303 - Centro","Lawyer, Civil law attorney, Family law attorney, Legal services, Medical lawyer","America/Sao_Paulo",,"(48) 99171-3222","(48) 99171-3222, +55 48 99171-3222","YES",81,4.9,"https://search.google.com/local/reviews?placeid=ChIJBwBAryM4J5UR7V3RRKU8AZU&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=10736929667149815277",-27.594447,-48.558527899999994,"http://www.duartefernandes.com.br/","duartefernandes.com.br","Friday(2025-12-12): [8:30 AM–5:30 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8:30 AM–5:30 PM], Tuesday(2025-12-16): [8:30 AM–5:30 PM], Wednesday(2025-12-17): [8:30 AM–5:30 PM], Thursday(2025-12-18): [8:30 AM–5:30 PM]","https://lh3.googleusercontent.com/p/AF1QipMcgXNtGvNc__IMlmmKpUKN0ZrcvqjcJ6mXuk4X=w137-h92-k-no","10736929667149815277","0x95273823af400007:0x95013ca544d15ded","ChIJBwBAryM4J5UR7V3RRKU8AZU"
"VC Advogados",,"Edifício Alpha Centauri - Av. Hercílio Luz, 639 - Sala 1104 - Centro, Florianópolis - SC, 88020-000","Edifício Alpha Centauri","Av. Hercílio Luz, 639 - Sala 1104 - Centro","Legal services, Law firm","America/Sao_Paulo",,"0800 111 9999","0800 111 9999, +55 800 111 9999","YES",422,5,"https://search.google.com/local/reviews?placeid=ChIJr65aUbIFbJIRd4F7kcgRY7c&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=13214425284767089015",-27.5974017,-48.547998199999995,"https://vieiracamargoadvogados.com.br/","vieiracamargoadvogados.com.br","Friday(2025-12-12): [8 AM–5 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [8 AM–5 PM], Tuesday(2025-12-16): [8 AM–5 PM], Wednesday(2025-12-17): [8 AM–5 PM], Thursday(2025-12-18): [8 AM–5 PM]","https://lh3.googleusercontent.com/p/AF1QipOnZZ5UNzpYPiyFHUQ_L_8tGG6DTzNxKStFBoXh=w138-h92-k-no","13214425284767089015","0x926c05b2515aaeaf:0xb76311c8917b8177","ChIJr65aUbIFbJIRd4F7kcgRY7c"
"Kelton Aguiar Advogados",,"R. Adolfo Melo, 35 - sala 301 - Centro, Florianópolis - SC, 88015-090","R. Adolfo Melo, 35 - sala 301 - Centro","Florianópolis - SC","Legal services, Business banking service, Civil law attorney, Insurance attorney, Labor relations attorney","America/Sao_Paulo",,"(48) 3878-4202","(48) 3878-4202, +55 48 3878-4202","YES",360,5,"https://search.google.com/local/reviews?placeid=ChIJIZWtCCE4J5UREjhNwpIVgqs&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=12358464047527311378",-27.593583,-48.5520025,"http://www.aguiaradvogados.com.br/","aguiaradvogados.com.br","Friday(2025-12-12): [9 AM–12 PM, 1:30–6 PM], Saturday(2025-12-13): [Closed], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [9 AM–12 PM, 1:30–6 PM], Tuesday(2025-12-16): [9 AM–12 PM, 1:30–6 PM], Wednesday(2025-12-17): [9 AM–12 PM, 1:30–6 PM], Thursday(2025-12-18): [9 AM–12 PM, 1:30–6 PM]","https://lh3.googleusercontent.com/p/AF1QipNtxAWalP3tVkYkwEJkUD8KaakwSatSrbOVJpeR=w122-h92-k-no","12358464047527311378","0x9527382108ad9521:0xab821592c24d3812","ChIJIZWtCCE4J5UREjhNwpIVgqs"
"Guerra Advocacia",,"R. Santa Luzia, 100 - Sala 813 - Trindade, Florianópolis - SC, 88036-540","R. Santa Luzia, 100 - Sala 813 - Trindade","Florianópolis - SC","Legal services","America/Sao_Paulo",,"(48) 3307-8900","(48) 3307-8900, +55 48 3307-8900","YES",266,5,"https://search.google.com/local/reviews?placeid=ChIJhS3AFQk5J5URBCAwl-vePVE&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=5854080194086707204",-27.593245,-48.5194743,"http://www.advocaciaguerra.adv.br/","advocaciaguerra.adv.br","Friday(2025-12-12): [9 AM–7 PM], Saturday(2025-12-13): [9 AM–12 PM], Sunday(2025-12-14): [Closed], Monday(2025-12-15): [9 AM–7 PM], Tuesday(2025-12-16): [9 AM–7 PM], Wednesday(2025-12-17): [9 AM–7 PM], Thursday(2025-12-18): [9 AM–7 PM]","https://lh3.googleusercontent.com/p/AF1QipO20YjaKjgFD9jiAxMoLtbq_I6rbwTNAEfwE1LW=w137-h92-k-no","5854080194086707204","0x9527390915c02d85:0x513ddeeb97302004","ChIJhS3AFQk5J5URBCAwl-vePVE"
"Mussi Advocacia & Consultoria em Florianópolis",,"R. Vidal Ramos, 31 - 5º Andar - Centro, Florianópolis - SC, 88010-320","R. Vidal Ramos, 31 - 5º Andar - Centro","Florianópolis - SC","Legal services, Consultant, Criminal justice attorney, Paralegal services provider","America/Sao_Paulo",,"(48) 98487-1002","(48) 98487-1002, +55 48 98487-1002","YES",113,5,"https://search.google.com/local/reviews?placeid=ChIJBduFDHo5J5UR-7-HSPDLF0s&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=5411017710178385915",-27.596113499999998,-48.5496347,"http://www.advmussi.com.br/","advmussi.com.br","Friday(2025-12-12): [Open 24 hours], Saturday(2025-12-13): [Open 24 hours], Sunday(2025-12-14): [Open 24 hours], Monday(2025-12-15): [Open 24 hours], Tuesday(2025-12-16): [Open 24 hours], Wednesday(2025-12-17): [Open 24 hours], Thursday(2025-12-18): [Open 24 hours]","https://lh3.googleusercontent.com/p/AF1QipPidl4KfBtolEldZzpm9Wc4apLdE8N_uHFuF03h=w163-h92-k-no","5411017710178385915","0x9527397a0c85db05:0x4b17cbf04887bffb","ChIJBduFDHo5J5UR-7-HSPDLF0s"
"BEDUSCHI & ADVOGADOS [Advogado Imobiliário, Plano de Saúde e Direito de Família]",,"R. Jerônimo Coelho, 280 - sala 806 - Centro, Florianópolis - SC, 88010-030","R. Jerônimo Coelho, 280 - sala 806 - Centro","Florianópolis - SC","Legal services, Civil law attorney, Divorce lawyer, Family law attorney, Immigration attorney, Real estate attorney, Trial attorney","America/Sao_Paulo",,"(48) 3223-9570","(48) 3223-9570, +55 48 3223-9570","YES",105,4.9,"https://search.google.com/local/reviews?placeid=ChIJd0ZGmiM4J5URB_WdsiE4mik&q=florianopolis+advogados&authuser=0&hl=en&gl=BR","https://www.google.com/maps?cid=2997770219350258951",-27.595442799999997,-48.5515103,"https://marilia.adv.br/","marilia.adv.br","Friday(2025-12-12): [Open 24 hours], Saturday(2025-12-13): [Open 24 hours], Sunday(2025-12-14): [Open 24 hours], Monday(2025-12-15): [Open 24 hours], Tuesday(2025-12-16): [Open 24 hours], Wednesday(2025-12-17): [Open 24 hours], Thursday(2025-12-18): [Open 24 hours]","https://lh3.googleusercontent.com/p/AF1QipPZEutxfnLlZSVRoKjS7rOBKvD1r4lEWP4Rm3iT=w122-h92-k-no","2997770219350258951","0x952738239a464677:0x299a3821b29df507","ChIJd0ZGmiM4J5URB_WdsiE4mik"
